Investor,Count
Maniv Mobility,1
"Khosla Ventures,",1
BOND,1
JSW Ventures,1
US Venture Partners,1
Rocketship.vc,1
iNovia Capital,1
Four Rivers Group,1
BlueCross BlueShield Venture Partners,1
Ally Bridge Group,1
Tiantu Capital Co.,1
Newsion Venture Capital,1
Kindred Capital,1
STORY3 Capital Partners,1
DAG Ventures,1
TowerBrook Capital Partners,1
Propel Venture Partners,1
Base10 Partners,1
AXA Venture Partners,1
DESUN Capital,1
Sigma Prime Ventures,1
Broom Ventures,1
Anthem Venture Partners,1
Wavemaker Partners,1
	Frontier Ventures,1
Marchmont Ventures,1
China Minsheng Investment Group,1
 CMFG Ventures,1
Elevar Equity,1
Edison Partners,1
VentureLink,1
We Capital,1
China Culture Industrial Investment Fund,1
Evolution Equity Partners,1
Company K Partners,1
Ivy Capital,1
Meridian Capital,1
Simon Equity Partners,1
 Monashees+,1
Group11,1
Galeo Ventures,1
Tengelmann Ventures,1
"Mangrove Capital Partners,14W. ForgeLight",1
Auriga,1
Lone Pine Capital,1
Signal Peak Ventures,1
Advantech Capital,1
Temasek Holdings Ltd.,1
Accelm Scania Growth Capital,1
Mithril,1
Delta Capital,1
CR Capital Mgmt,1
Nirvana Venture Advisors,1
Newpath Partners,1
Advancit Capital,1
Lenovo Capital and Incubator,1
Group GSR Ventures,1
Utrust Venture Capital,1
SWaN & Legend Ventures,1
Kefa Capital,1
Dark Horse Technology Group,1
Chuanrong Capital,1
Gaocheng Capital,1
Quadrille Capital,1
Mayfair Equity Partners,1
Draper Fisher Jurtson,1
Mitsubishi Corporation,1
RPM Ventures,1
Nordic Capital,1
Dynamo VC,1
MassMutual Ventures,1
CVS Health,1
	Lightspeed Venture Partners,1
Inspiration Ventures,1
Carrick Capital Partners,1
Perpetual Investors,1
Presidio Ventures,1
ICG,1
Motive Partners. Apollo Global Management,1
	CRV,1
Brainchild Holdings,1
Nextech Invest,1
TSG Consumer Partners,1
Casdin Capital,1
Unkork Capital,1
Trane Technologies,1
UiPath Ventures,1
Banner Ventures,1
Honeywell,1
Leta Capital,1
Cool Japan Fund,1
Framework Ventures,1
Dila Capital,1
Struck Capital,1
Outrun Ventures,1
JAFCO,1
Wamda Capital,1
CMC Capital Partners,1
SAP.iO Fund,1
Primitive Forest Holdings Group,1
Yuanda Venture Investment,1
Sunley House Capital Management,1
UNITY VENTURES,1
L'Occitane,1
Material Impact,1
Insights Partners,1
Spotify,1
JD Digits,1
CMFG Ventures,1
Crowdcube,1
China Reform Fund,1
Gaopeng Capital,1
N5 Capital,1
H Capital,1
Jinhui Xingye,1
Lazada,1
Sinar Mas Indonesia,1
Valo Ventures,1
SoGal Ventures,1
Next Coast Ventures,1
GE Healthcare,1
Forestay Capital,1
York Capital Management,1
Alumni Ventures,1
NTT DoCoMo Ventures,1
Prologis Ventures,1
3x5 Special Opportunity Partners,1
Far East Horizon,1
Chromo Invest,1
Yaxia Automobile,1
Kraken Ventures,1
Operator Collective,1
Epiq Capital,1
Walden Venture Capital,1
INGKA Investments,1
Investcorp,1
FTX Venture,1
Summer Capital,1
Better Tomorrow Ventures,1
Wipro Ventures,1
Flourish Ventures,1
GLP Capital Partners,1
	Source Code Capital,1
Mendacre,1
Liquid 2 Ventures,1
Verizon Ventures,1
Anthermis,1
CDIB Capital,1
Global Logistic Properties,1
Afore Capital,1
Floodgate,1
IvyCap Ventures,1
OLX Group,1
Beijing Juneng Hesheng Industry Investment Fund,1
Plum Alley,1
Dynamic Parcel Distribution,1
Monk's Hill Ventures,1
iVision Ventures,1
Yunqi Partners,1
Amasia,1
Juxtapose,1
SDP Investment,1
Beijing Shuju Xinrong Fund,1
